artist,cardClass,collectible,cost,dbfId,flavor,id,name,rarity,set,spellSchool,text,type,mechanics,attack,health,race,elite,targetingArrowText,durability,overload,spellDamage,battlegroundsPremiumDbfId,howToEarnGolden,howToEarn,armor,hasDiamondSkin,collectionText,techLevel,faction,multiClassGroup,isMiniSet,hideStats,battlegroundsDarkmoonPrizeTurn,questReward
Gonzalo Ordonez,NEUTRAL,TRUE,3,642,Never wash your whites with a Scarlet Crusader.,EX1_020,Scarlet Crusader,COMMON,EXPERT1,NA,<b>Divine Shield</b>,MINION,DIVINE_SHIELD,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Efrem Palacios,NEUTRAL,TRUE,3,765,"He's stationed in the Hellfire Peninsula, but he's hoping for a reassignment closer to Orgrimmar, or really anywhere the ground is less on fire.",EX1_021,Thrallmar Farseer,COMMON,EXPERT1,NA,<b>Windfury</b>,MINION,WINDFURY,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HORDE,NA,NA,NA,NA,NA
Phroilan Gardner,NEUTRAL,TRUE,4,34,"The first time they tried to guard Silvermoon against the scourge, it didn’t go so well…",EX1_023,Silvermoon Guardian,COMMON,EXPERT1,NA,<b>Divine Shield</b>,MINION,DIVINE_SHIELD,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HORDE,NA,NA,NA,NA,NA
Warren Mahy,NEUTRAL,TRUE,4,523,She is still working on installing the rocket launcher add-on for Mr. Bitey.,EX1_025,Dragonling Mechanic,FREE,LEGACY,NA,<b>Battlecry:</b> Summon a 2/1 Mechanical Dragonling.,MINION,BATTLECRY,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,5,68,The wonderful thing about tigers is tigers are wonderful things!,EX1_028,Stranglethorn Tiger,COMMON,EXPERT1,NA,<b>Stealth</b>,MINION,STEALTH,5,5,BEAST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Glenn Rane,NEUTRAL,TRUE,1,658,"He really just wants to be your friend, but the constant rejection is starting to really get to him.",EX1_029,Leper Gnome,COMMON,EXPERT1,NA,<b>Deathrattle:</b> Deal 2 damage to the enemy hero.,MINION,DEATHRATTLE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrea Uderzo,NEUTRAL,TRUE,6,759,She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!,EX1_032,Sunwalker,RARE,EXPERT1,NA,"<b>Taunt</b>
<b>Divine Shield</b>",MINION,DIVINE_SHIELD,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Andrea Uderzo,NEUTRAL,TRUE,6,759,She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!,EX1_032,Sunwalker,RARE,EXPERT1,NA,"<b>Taunt</b>
<b>Divine Shield</b>",MINION,TAUNT,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Luke Mancini,NEUTRAL,TRUE,6,567,Harpies are not pleasant sounding.  That's the nicest I can put it.,EX1_033,Windfury Harpy,COMMON,EXPERT1,NA,<b>Windfury</b>,MINION,WINDFURY,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Jaemin Kim,NEUTRAL,TRUE,4,1037,Twilight drakes feed on Mystical Energy.  And Tacos.,EX1_043,Twilight Drake,RARE,EXPERT1,NA,<b>Battlecry:</b> Gain +1 Health for each card in your hand.,MINION,BATTLECRY,4,1,DRAGON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attila Adorjany,NEUTRAL,TRUE,3,791,"""Does anyone have some extra Boar Pelts?""",EX1_044,Questing Adventurer,RARE,EXPERT1,NA,"Whenever you play a card, gain +1/+1.",MINION,TRIGGER_VISUAL,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Richard Wright,NEUTRAL,TRUE,2,605,Why do its eyes seem to follow you as you walk by?,EX1_045,Ancient Watcher,RARE,EXPERT1,NA,Can't attack.,MINION,CANT_ATTACK,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Scott Hampton,NEUTRAL,TRUE,4,348,"Guardians of Dark Iron Ore.  Perhaps the most annoying ore, given where you have to forge it.",EX1_046,Dark Iron Dwarf,COMMON,EXPERT1,NA,<b>Battlecry:</b> Give a minion +2 Attack this turn.,MINION,BATTLECRY,4,4,NA,NA,Give +2 Attack.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Matt Cavotta,NEUTRAL,TRUE,4,754,Spellbreakers can rip enchantments from magic-wielders.  The process is painless and can be performed on an outpatient basis.,EX1_048,Spellbreaker,COMMON,EXPERT1,NA,<b>Battlecry:</b> <b>Silence</b> a minion.,MINION,BATTLECRY,4,3,NA,NA,<b>Silence</b> a minion.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HORDE,NA,NA,NA,NA,NA
Wei Wang,NEUTRAL,TRUE,2,415,His youthful enthusiasm doesn’t always equal excellence in his brews.   Don’t drink the Mogu Stout!,EX1_049,Youthful Brewmaster,COMMON,EXPERT1,NA,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,MINION,BATTLECRY,3,2,NA,NA,Return a minion to your hand.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Steve Prescott,NEUTRAL,TRUE,3,1016,They can see the future.   In that future both players draw more cards.   Spoooky.,EX1_050,Coldlight Oracle,RARE,EXPERT1,NA,<b>Battlecry:</b> Each player draws 2 cards.,MINION,BATTLECRY,2,2,MURLOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hideaki Takamura,NEUTRAL,TRUE,2,12,"She’s trying to kick the habit, but still takes some mana whenever she has a stressful day.",EX1_055,Mana Addict,RARE,EXPERT1,NA,"Whenever you cast a spell, gain +2 Attack this turn.",MINION,TRIGGER_VISUAL,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Bernie Kang,NEUTRAL,TRUE,4,186,Most pandaren say his brew tastes like yak.  But apparently that's a compliment.,EX1_057,Ancient Brewmaster,COMMON,EXPERT1,NA,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,MINION,BATTLECRY,5,4,NA,NA,Return a minion to your hand.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
James Ryman,NEUTRAL,TRUE,2,891,"She carries a shield, but only so she can give it to someone she can stand behind.",EX1_058,Sunfury Protector,RARE,EXPERT1,NA,<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.,MINION,BATTLECRY,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Tom Fleming,NEUTRAL,TRUE,2,801,"""You'll <i>love</i> my new recipe!"" he says... especially if you're not happy with your current number of limbs.",EX1_059,Crazed Alchemist,RARE,EXPERT1,NA,<b>Battlecry:</b> Swap the Attack and Health of a minion.,MINION,BATTLECRY,2,2,NA,NA,Swap Attack and Health of a minion.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dan Scott,NEUTRAL,TRUE,4,736,"He's a legend among murlocs.  ""Mrghllghghllghg!"", they say.",EX1_062,Old Murk-Eye,LEGENDARY,LEGACY,NA,<b>Charge</b>. Has +1 Attack for each other Murloc on the battlefield.,MINION,CHARGE,2,4,MURLOC,TRUE,NA,NA,NA,NA,58382,NA,Unlocked when you have all the Murlocs from the Legacy Set.,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Chris Rahn,NEUTRAL,TRUE,2,906,Oozes love Flamenco.  Don't ask.,EX1_066,Acidic Swamp Ooze,FREE,LEGACY,NA,<b>Battlecry:</b> Destroy your opponent's weapon.,MINION,BATTLECRY,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
James Ryman,NEUTRAL,TRUE,6,281,"The Argent Dawn stands vigilant against the Scourge, as well as people who cut in line at coffee shops.",EX1_067,Argent Commander,RARE,EXPERT1,NA,"<b>Charge</b>
<b>Divine Shield</b>",MINION,CHARGE,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ryman,NEUTRAL,TRUE,6,281,"The Argent Dawn stands vigilant against the Scourge, as well as people who cut in line at coffee shops.",EX1_067,Argent Commander,RARE,EXPERT1,NA,"<b>Charge</b>
<b>Divine Shield</b>",MINION,DIVINE_SHIELD,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Spears,NEUTRAL,TRUE,2,37,She's quite jealous of the Gallon-Sized Summoner.,EX1_076,Pint-Sized Summoner,RARE,EXPERT1,NA,The first minion you play each turn costs (1) less.,MINION,AURA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Zoltan Boros,NEUTRAL,TRUE,1,158,Where is Mankrik’s wife? She’ll never tell.,EX1_080,Secretkeeper,RARE,EXPERT1,NA,"Whenever a <b>Secret</b> is played, gain +1/+1.",MINION,TRIGGER_VISUAL,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Mike Sass,NEUTRAL,TRUE,2,762,"He's not really all that crazy, he is just not as careful with explosives as he should be.",EX1_082,Mad Bomber,COMMON,EXPERT1,NA,<b>Battlecry:</b> Deal 3 damage randomly split between all other characters.,MINION,BATTLECRY,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Tom Baxa,NEUTRAL,TRUE,3,570,Tinkmaster Overspark nearly lost his Tinker's license after the Great Ironforge Squirrel Stampede of '09.,EX1_083,Tinkmaster Overspark,LEGENDARY,EXPERT1,NA,"[x]<b>Battlecry:</b> Transform
another random minion
into a 5/5 Devilsaur
or a 1/1 Squirrel.",MINION,BATTLECRY,3,3,NA,TRUE,Transform a minion into a 5/5 or a 1/1 at random.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Wei Wang,WARRIOR,TRUE,3,1009,The Warsong clan is <i>such drama</i>. It's really not worth it to become a commander.,EX1_084,Warsong Commander,FREE,LEGACY,NA,"After you summon another minion, give it <b>Rush</b>.",MINION,TRIGGER_VISUAL,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leo Che,NEUTRAL,TRUE,3,734,"Mind Control technology is getting better, but that's not saying much.",EX1_085,Mind Control Tech,RARE,EXPERT1,NA,"[x]<b>Battlecry:</b> If your opponent
has 4 or more minions, take
 control of one at random.",MINION,BATTLECRY,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Sedhayu Ardian,NEUTRAL,TRUE,3,466,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",EX1_089,Arcane Golem,RARE,EXPERT1,NA,<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,MINION,BATTLECRY,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sedhayu Ardian,NEUTRAL,TRUE,3,466,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",EX1_089,Arcane Golem,RARE,EXPERT1,NA,<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,MINION,CHARGE,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chippy,PRIEST,TRUE,6,272,You never know who may be secretly working for the Cabal....,EX1_091,Cabal Shadow Priest,EPIC,EXPERT1,NA,<b>Battlecry:</b> Take control of an enemy minion that has 2 or less Attack.,MINION,BATTLECRY,4,5,NA,NA,Steal a minion that has 2 or less Attack.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,4,763,You wouldn’t think that Argus would need this much defending.  But it does.,EX1_093,Defender of Argus,RARE,EXPERT1,NA,<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.,MINION,BATTLECRY,3,3,NA,NA,NA,NA,NA,NA,57404,NA,NA,NA,NA,NA,4,ALLIANCE,NA,NA,NA,NA,NA
Matt Dixon,NEUTRAL,TRUE,6,932,"He used to run the black market auction house, but there was just too much violence and he had to move.",EX1_095,Gadgetzan Auctioneer,RARE,EXPERT1,NA,"Whenever you cast a spell, draw a card.",MINION,TRIGGER_VISUAL,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Nelson,NEUTRAL,TRUE,2,251,Always roll need.,EX1_096,Loot Hoarder,COMMON,EXPERT1,NA,<b>Deathrattle:</b> Draw a card.,MINION,DEATHRATTLE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,5,440,Abominations enjoy Fresh Meat and long walks on the beach.,EX1_097,Abomination,RARE,EXPERT1,NA,"<b>Taunt</b>. <b>Deathrattle:</b> Deal 2
damage to ALL characters.",MINION,DEATHRATTLE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Horley Orlandelli,NEUTRAL,TRUE,5,440,Abominations enjoy Fresh Meat and long walks on the beach.,EX1_097,Abomination,RARE,EXPERT1,NA,"<b>Taunt</b>. <b>Deathrattle:</b> Deal 2
damage to ALL characters.",MINION,TAUNT,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Zug,NEUTRAL,TRUE,2,1135,"Lorewalker Cho archives and shares tales from the land of Pandaria, but his favorite story is the one where Joey and Phoebe go on a road trip.",EX1_100,Lorewalker Cho,LEGENDARY,EXPERT1,NA,"Whenever a player casts a spell, put a copy into the other player’s hand.",MINION,TRIGGER_VISUAL,0,4,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raymond Swanland,NEUTRAL,TRUE,3,979,"Laying siege isn't fun for anyone.  It's not even all that effective, now that everyone has a flying mount.",EX1_102,Demolisher,RARE,EXPERT1,NA,"At the start of your turn, deal 2 damage to a random enemy.",MINION,TRIGGER_VISUAL,1,4,MECHANICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthur Gimaldinov,NEUTRAL,TRUE,3,453,"The Coldlight murlocs reside in the darkest pits of the Abyssal Depths.  So no, there's no getting away from murlocs.",EX1_103,Coldlight Seer,RARE,EXPERT1,NA,<b>Battlecry:</b> Give your other Murlocs +2 Health.,MINION,BATTLECRY,2,3,MURLOC,NA,NA,NA,NA,NA,59491,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Samwise,NEUTRAL,TRUE,12,993,His mother said that he was just big boned.,EX1_105,Mountain Giant,EPIC,EXPERT1,NA,Costs (1) less for each other card in your hand.,MINION,NA,8,8,ELEMENTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wayne Reynolds,NEUTRAL,TRUE,6,420,"Cairne was killed by Garrosh, so... don't put this guy in a Warrior deck.  It's pretty insensitive.",EX1_110,Cairne Bloodhoof,LEGENDARY,EXPERT1,NA,<b>Deathrattle:</b> Summon a 5/5 Baine Bloodhoof.,MINION,DEATHRATTLE,5,5,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Ludo Lullabi,NEUTRAL,TRUE,6,858,"He's the leader of the gnomes, and an incredible inventor.  He's getting better, too; He turns things into chickens WAY less than he used to.",EX1_112,Gelbin Mekkatorque,LEGENDARY,LEGACY,NA,<b>Battlecry:</b> Summon an AWESOME invention.,MINION,BATTLECRY,6,6,NA,TRUE,NA,NA,NA,NA,NA,This was rewarded to players who helped test the Store during the Beta.,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Gabe from Penny Arcade,NEUTRAL,TRUE,5,559,At least he has Angry Chicken.,EX1_116,Leeroy Jenkins,LEGENDARY,EXPERT1,NA,<b>Charge</b>. <b>Battlecry:</b> Summon two 1/1 Whelps for your opponent.,MINION,BATTLECRY,6,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Gabe from Penny Arcade,NEUTRAL,TRUE,5,559,At least he has Angry Chicken.,EX1_116,Leeroy Jenkins,LEGENDARY,EXPERT1,NA,<b>Charge</b>. <b>Battlecry:</b> Summon two 1/1 Whelps for your opponent.,MINION,CHARGE,6,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALLIANCE,NA,NA,NA,NA,NA
Ariel Olivetti,ROGUE,TRUE,2,904,There is a high cost to Eviscerating your opponent. You might tweak your elbow! That really hurts!,EX1_124,Eviscerate,COMMON,EXPERT1,NA,Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.,SPELL,COMBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Graciano,ROGUE,TRUE,2,282,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",EX1_126,Betrayal,COMMON,EXPERT1,NA,Force an enemy minion to deal its damage to the minions next to it.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Hui,ROGUE,TRUE,1,990,Rogues conceal everything but their emotions.  You can't get 'em to shut up about feelings.,EX1_128,Conceal,COMMON,EXPERT1,SHADOW,Give your minions <b>Stealth</b> until your next turn.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Robinson,ROGUE,TRUE,3,667,"I wouldn't say I LOVE knives, but I'm definitely a fan.",EX1_129,Fan of Knives,FREE,LEGACY,NA,Deal $1 damage to all enemy minions. Draw a card.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoltan & Gabor,PALADIN,TRUE,1,584,"We will always remember you, ""Defender!""",EX1_130,Noble Sacrifice,COMMON,EXPERT1,NA,"<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dany Orizio,ROGUE,TRUE,2,201,"He stole the deed to town years ago, so technically the town <i>is</i> his. He just calls people Scrub to be mean.",EX1_131,Defias Ringleader,COMMON,EXPERT1,NA,<b>Combo:</b> Summon a 2/1 Defias Bandit.,MINION,COMBO,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Ryman,PALADIN,TRUE,1,462,Justice sometimes takes the form of a closed fist into a soft cheek.,EX1_132,Eye for an Eye,COMMON,EXPERT1,HOLY,"<b>Secret:</b> When your hero takes damage, deal that much damage to the enemy hero.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daren Bader,ROGUE,TRUE,3,391,Perdition's Blade is Ragnaros's back-up weapon while Sulfuras is in the shop.,EX1_133,Perdition's Blade,RARE,EXPERT1,NA,<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.,WEAPON,BATTLECRY,2,NA,NA,NA,Deal 1 damage.@Deal 2 damage.,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daren Bader,ROGUE,TRUE,3,391,Perdition's Blade is Ragnaros's back-up weapon while Sulfuras is in the shop.,EX1_133,Perdition's Blade,RARE,EXPERT1,NA,<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.,WEAPON,COMBO,2,NA,NA,NA,Deal 1 damage.@Deal 2 damage.,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moeller,ROGUE,TRUE,3,1117,"The agents of SI:7 are responsible for Stormwind's covert activities.  Their duties include espionage, assassination, and throwing surprise birthday parties for the royal family.",EX1_134,SI:7 Agent,RARE,EXPERT1,NA,<b>Combo:</b> Deal 2 damage.,MINION,COMBO,3,3,NA,NA,Deal 2 damage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ittoku,PALADIN,TRUE,1,140,I am not sure how you get demptioned the first time.  It’s a mystery!,EX1_136,Redemption,COMMON,EXPERT1,HOLY,"<b>Secret:</b> When a friendly minion dies, return it to life with 1 Health.",SPELL,SECRET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludo Lullabi,ROGUE,TRUE,3,708,"When all else fails, nothing beats a swift whack upside the head.",EX1_137,Headcrack,RARE,EXPERT1,NA,Deal $2 damage to the enemy hero. <b>Combo:</b> Return this to your hand next turn.,SPELL,COMBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graven Tung,ROGUE,TRUE,0,365,Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.,EX1_144,Shadowstep,COMMON,EXPERT1,SHADOW,Return a friendly minion to your hand. It costs (2) less.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clint Langley,ROGUE,TRUE,0,1158,"""Be Prepared"" - Rogue Motto",EX1_145,Preparation,EPIC,EXPERT1,NA,The next spell you cast this turn costs (2) less.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raymond Swanland,DRUID,TRUE,2,836,The talk around the Ratchet Inn is that this card is too good and should be a Legendary.,EX1_154,Wrath,COMMON,EXPERT1,"NATURE","<b>Choose One -</b>
Deal $3 damage to a minion; or $1 damage
and draw a card.",SPELL,CHOOSE_ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clint Langley,DRUID,TRUE,3,151,"Druids call it the ""Mark of Nature.""  Everyone else calls it ""needing a bath.""",EX1_155,Mark of Nature,COMMON,EXPERT1,"NATURE",<b>Choose One -</b> Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.,SPELL,CHOOSE_ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markus Erdt,DRUID,TRUE,4,381,"""Reforestation"" is suddenly a terrifying word.",EX1_158,Soul of the Forest,COMMON,EXPERT1,"NATURE","Give your minions ""<b>Deathrattle:</b> Summon a 2/2 Treant.""",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Tappin,DRUID,TRUE,2,503,"Never look a panther in the eye.  Or is it 'Always look a panther in the eye'?  Well, it's one of those.",EX1_160,Power of the Wild,COMMON,EXPERT1,NA,<b>Choose One -</b> Give your minions +1/+1; or Summon a 3/2 Panther.,SPELL,CHOOSE_ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leo Che,DRUID,TRUE,1,233,Another one bites the dust.,EX1_161,Naturalize,COMMON,EXPERT1,"NATURE","Destroy a minion.
Your opponent draws 2 cards.",SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Dickenson,NEUTRAL,TRUE,2,985,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",EX1_162,Dire Wolf Alpha,COMMON,EXPERT1,NA,Adjacent minions have +1 Attack.,MINION,ADJACENT_BUFF,2,2,BEAST,NA,NA,NA,NA,NA,60025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Dickenson,NEUTRAL,TRUE,2,985,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",EX1_162,Dire Wolf Alpha,COMMON,EXPERT1,NA,Adjacent minions have +1 Attack.,MINION,AURA,2,2,BEAST,NA,NA,NA,NA,NA,60025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terese Nielsen,DRUID,TRUE,6,95,"Druids take nourishment from many things: the power of nature, the songbird's chirp, a chocolate cake.",EX1_164,Nourish,RARE,EXPERT1,"NATURE",<b>Choose One -</b> Gain 2 Mana Crystals; or Draw 3 cards.,SPELL,CHOOSE_ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luca Zontini,DRUID,TRUE,5,692,Cat or Bear?  Cat or Bear?!  I just cannot CHOOSE!,EX1_165,Druid of the Claw,COMMON,EXPERT1,NA,"[x]<b>Choose One -</b> Transform
into a 5/4 with <b>Rush</b>;
or a 5/6 with <b>Taunt</b>.",MINION,CHOOSE_ONE,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabor Szikszai,DRUID,TRUE,4,601,These guys just show up and start Keeping your Groves without even asking.,EX1_166,Keeper of the Grove,RARE,EXPERT1,NA,<b>Choose One -</b> Deal 2 damage; or <b>Silence</b> a minion.,MINION,CHOOSE_ONE,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Alexander,DRUID,TRUE,0,254,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",EX1_169,Innervate,FREE,LEGACY,"NATURE",Gain 1 Mana Crystal this turn only.,SPELL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
